Time;SS-RSRP
12:18:19;-124.22
12:18:19;-117.14
12:18:19;-132.69
12:18:19;-110.55
12:18:19;-122.13
12:18:21;-96.73
12:18:21;-109.85
12:18:21;-116.39
12:18:21;-126.8
12:18:21;-101.7
12:18:21;-124.61
12:18:21;-115.24
12:18:21;-133.38
12:18:21;-116.07
12:18:21;-125.57
12:18:21;-105.07
12:18:21;-117.48
12:18:21;-117.09
12:18:21;-131.69
12:18:21;-112.69
12:18:21;-125.03
12:18:21;-100.9
12:18:21;-111.29
12:18:22;-113.54
12:18:22;-97.06
12:18:22;-128.47
12:18:22;-111.8
12:18:22;-128.36
12:18:22;-114.98
12:18:22;-129.06
12:18:22;-101.52
12:18:22;-119.89
12:18:22;-117.09
12:18:22;-128.69
12:18:22;-108.93
12:18:22;-120.37
12:18:23;-98.52
12:18:23;-111.79
12:18:24;-115.72
12:18:24;-102.36
12:18:24;-136.77
12:18:24;-115.87
12:18:24;-115.87
12:18:24;-105.09
12:18:24;-125.31
12:18:24;-118.72
12:18:24;-112.51
12:18:24;-124.73
12:18:26;-93.59
12:18:26;-110.59
12:18:26;-120.24
12:18:26;-105.62
12:18:26;-135.44
12:18:26;-122.05
12:18:26;-120.94
12:18:26;-110.92
12:18:26;-124.22
12:18:26;-121.43
12:18:26;-134.77
12:18:26;-116.74
12:18:26;-125.31
12:18:30;-99.2
12:18:30;-112.95
12:18:30;-119.47
12:18:30;-103.88
12:18:30;-134.06
12:18:30;-121.72
12:18:30;-118.66
12:18:30;-120.77
12:18:30;-133.12
12:18:30;-107.75
12:18:30;-122.6
12:18:30;-115.51
12:18:30;-121.29
12:18:30;-133.97
12:18:30;-117.47
12:18:30;-125.35
12:18:30;-127.77
12:18:33;-97.31
12:18:33;-110.31
12:18:33;-106.79
12:18:34;-121.08
12:18:34;-105.75
12:18:34;-131.44
12:18:34;-123.58
12:18:34;-117.93
12:18:34;-132.62
12:18:34;-120.45
12:18:34;-131.74
12:18:34;-107.98
12:18:34;-121.2
12:18:34;-115.09
12:18:34;-121.62
12:18:34;-134.65
12:18:34;-115.11
12:18:34;-122.96
12:18:34;-128.69
12:18:36;-100.08
12:18:36;-114.63
12:18:36;-106.01
12:18:37;-133.63
12:18:37;-117.79
12:18:37;-100.11
12:18:37;-133.21
12:18:37;-135.85
12:18:37;-125.8
12:18:37;-120.25
12:18:37;-130.91
12:18:37;-128.31
12:18:37;-121.48
12:18:37;-134.65
12:18:37;-104.81
12:18:37;-125.28
12:18:37;-118.24
12:18:37;-121.34
12:18:37;-132.79
12:18:37;-111.61
12:18:37;-123.87
12:18:37;-135.09
12:18:37;-100.31
12:18:37;-104.56
12:18:37;-130.91
12:18:37;-116.92
12:18:37;-99.8
12:18:37;-130.21
12:18:37;-127.98
12:18:37;-115.84
12:18:37;-132.75
12:18:37;-128.13
12:18:37;-116.21
12:18:37;-128.69
12:18:37;-106.26
12:18:37;-122.72
12:18:37;-119.52
12:18:37;-118.67
12:18:37;-112.47
12:18:37;-127.73
12:18:37;-132.25
12:18:37;-132.53
12:18:40;-105.22
12:18:40;-111.49
12:18:40;-114.37
12:18:40;-130.08
12:18:40;-122.69
12:18:40;-105.97
12:18:40;-131
12:18:40;-136.07
12:18:40;-122.24
12:18:40;-120
12:18:40;-125.33
12:18:40;-121.52
12:18:40;-133.88
12:18:40;-109.44
12:18:40;-123.43
12:18:40;-113.43
12:18:40;-124.14
12:18:40;-116.44
12:18:40;-128.35
12:18:40;-126.57
12:18:42;-99.16
12:18:42;-116.47
12:18:42;-111.87
12:18:42;-125.93
12:18:42;-117.34
12:18:42;-101.66
12:18:42;-132.38
12:18:42;-130.22
12:18:42;-125.67
12:18:42;-117.4
12:18:42;-131.43
12:18:42;-120.35
12:18:42;-119.17
12:18:42;-133.34
12:18:42;-106.72
12:18:42;-124.94
12:18:42;-115.4
12:18:42;-118.83
12:18:42;-114.35
12:18:42;-125.63
12:18:42;-129.58
12:18:42;-128.59
12:18:43;-101.55
12:18:43;-120.32
12:18:43;-114.95
12:18:43;-128.3
12:18:43;-119.46
12:18:43;-108.72
12:18:43;-135.86
12:18:43;-133.02
12:18:43;-126.27
12:18:43;-120.56
12:18:43;-123.57
12:18:43;-120.02
12:18:43;-135.51
12:18:43;-108.27
12:18:43;-127.65
12:18:43;-118.77
12:18:43;-123.1
12:18:43;-116.46
12:18:43;-128.31
12:18:43;-132.31
12:18:43;-131.24
12:18:49;-111.15
12:18:49;-101.93
12:18:49;-114.94
12:18:49;-112.96
12:18:49;-110.4
12:18:51;-125.77
12:18:51;-119.39
12:18:51;-102.63
12:18:51;-134.24
12:18:51;-132.07
12:18:51;-118.53
12:18:51;-121.47
12:18:51;-118.25
12:18:51;-135.36
12:18:51;-109.54
12:18:51;-125.07
12:18:51;-122.4
12:18:51;-118.39
12:18:51;-123.4
12:18:51;-126.76
12:18:52;-115.9
12:18:52;-101.37
12:18:52;-117.21
12:18:52;-112.73
12:18:52;-110.86
12:18:53;-122.65
12:18:53;-117.69
12:18:53;-125.51
12:18:53;-101.06
12:18:53;-123.95
12:18:53;-132.04
12:18:53;-132.94
12:18:53;-119.7
12:18:53;-119.72
12:18:53;-120.68
12:18:53;-128.63
12:18:53;-135.27
12:18:53;-107.86
12:18:53;-120.51
12:18:53;-123.61
12:18:53;-129.31
12:18:53;-125.78
12:18:53;-121.98
12:18:53;-116.14
12:18:53;-125.18
12:18:53;-130.8
