Time;SS-RSRP
12:17:49;-130.28
12:17:49;-125.83
12:17:49;-122.6
12:17:49;-125.73
12:17:49;-125.93
12:17:49;-123.96
12:17:49;-133.44
12:17:49;-135.15
12:17:49;-107.94
12:17:49;-110.17
12:17:49;-98.27
12:17:49;-115.02
12:17:49;-114.88
12:17:49;-108.38
12:17:49;-131.71
12:17:49;-121.45
12:17:49;-104.52
12:17:49;-133.4
12:17:49;-130.65
12:17:49;-128.27
12:17:49;-131.15
12:17:49;-122.4
12:17:49;-128.33
12:17:49;-126.7
12:17:49;-123.54
12:17:49;-130.72
12:17:49;-111.09
12:17:49;-128.09
12:17:49;-123.89
12:17:49;-133.65
12:17:49;-135.79
12:17:49;-125.72
12:17:49;-124.75
12:17:49;-130.28
12:17:49;-119.29
12:17:49;-127.17
12:17:49;-132.91
12:17:49;-120.34
12:17:49;-117.17
12:17:49;-129.36
12:17:50;-89.28
12:17:50;-101.36
12:17:51;-112.79
12:17:51;-93.46
12:17:51;-108.43
12:17:51;-103.22
12:17:51;-93.58
12:17:51;-114.66
12:17:52;-131.44
12:17:52;-117.6
12:17:52;-120.46
12:17:52;-120.37
12:17:52;-121.69
12:17:52;-133.8
12:17:52;-127.57
12:17:52;-132.03
12:17:53;-110.76
12:17:53;-114.56
12:17:53;-99.43
12:17:53;-116.77
12:17:53;-113.79
12:17:53;-119.78
12:17:55;-136.61
12:17:55;-117.25
12:17:55;-98.6
12:17:55;-135.59
12:17:55;-125.3
12:17:55;-125.24
12:17:55;-136.29
12:17:55;-132.5
12:17:55;-115.77
12:17:55;-135.58
12:17:55;-131.22
12:17:55;-117.77
12:17:55;-135.94
12:17:55;-107.61
12:17:55;-121.05
12:17:55;-124.02
12:17:55;-135.19
12:17:55;-127.09
12:17:55;-119.94
12:17:55;-113.03
12:17:55;-127.57
12:17:55;-131.61
12:17:55;-125.18
12:17:55;-114.64
12:17:55;-133.41
12:17:55;-131.76
12:17:56;-144.13
12:17:56;-87.88
12:17:56;-92.16
12:17:56;-91.23
12:17:56;-108.1
12:17:56;-103.93
12:17:56;-96.44
12:17:56;-116.47
12:17:57;-134.18
12:17:57;-122.13
12:17:57;-131.19
12:17:57;-134.68
12:17:57;-118.57
12:17:57;-123.08
12:17:57;-124.54
12:17:57;-136.38
12:17:57;-125.86
12:17:57;-127.99
12:17:57;-111.7
12:17:57;-115.93
12:17:57;-112.54
12:17:57;-100
12:17:57;-118.36
12:17:57;-114.6
12:17:57;-103.71
12:17:58;-132.24
12:17:58;-116.76
12:17:58;-127.57
12:17:58;-129.22
12:17:58;-100.59
12:17:58;-126.1
12:17:58;-128.29
12:17:58;-122.24
12:17:58;-134.88
12:17:58;-134.28
12:17:58;-114.83
12:17:58;-127.33
12:17:58;-115.34
12:17:58;-124.91
12:17:58;-105.74
12:17:58;-123.79
12:17:58;-122.28
12:17:58;-129.79
12:17:58;-117.93
12:17:58;-128.84
12:17:58;-112.14
12:17:58;-130.4
12:17:58;-117.86
12:17:58;-116.28
12:17:58;-129.72
12:17:58;-125.9
12:17:58;-126.6
12:17:58;-87.46
12:17:58;-92.67
12:17:59;-86.57
12:17:59;-107.47
12:17:59;-105.9
12:17:59;-93.65
12:17:59;-127.25
12:17:59;-120.06
12:17:59;-132
12:17:59;-127.57
12:17:59;-132.43
12:17:59;-116.79
12:17:59;-125.45
12:17:59;-122.56
12:17:59;-128.58
12:17:59;-132.33
12:17:59;-126.97
12:17:59;-126.64
12:17:59;-101.86
12:17:59;-115.8
12:17:59;-115.38
12:17:59;-89.89
12:17:59;-105.78
12:17:59;-104.88
12:18:01;-130.15
12:18:01;-111.08
12:18:01;-93.1
12:18:01;-129.9
12:18:01;-127.79
12:18:01;-117.1
12:18:01;-131.51
12:18:01;-126.34
12:18:01;-133.41
12:18:01;-109.63
12:18:01;-126.4
12:18:01;-111.63
12:18:01;-127.71
12:18:01;-102.37
12:18:01;-124.82
12:18:01;-119.02
12:18:01;-129.84
12:18:01;-134.03
12:18:01;-129.34
12:18:01;-112.42
12:18:01;-108.37
12:18:01;-132.19
12:18:01;-132.06
12:18:01;-121.63
12:18:01;-116.28
12:18:01;-124.91
12:18:01;-121.88
12:18:01;-121.72
12:18:01;-87.41
12:18:01;-93.06
12:18:01;-112.45
12:18:01;-87.32
12:18:01;-105.91
12:18:01;-105.01
12:18:01;-95.52
12:18:01;-107.32
12:18:01;-132.93
12:18:01;-122.41
12:18:01;-128.28
12:18:01;-130.07
12:18:01;-133.79
12:18:01;-119.76
12:18:01;-123.28
12:18:01;-123.73
12:18:01;-132.03
12:18:01;-132.36
12:18:01;-122.07
12:18:01;-133.5
12:18:02;-110.38
12:18:02;-119.52
12:18:02;-117.05
12:18:02;-94.57
12:18:02;-121.39
12:18:02;-118.6
12:18:02;-106.33
12:18:02;-135.69
12:18:02;-122.48
12:18:02;-103.04
12:18:02;-129.94
12:18:02;-132.91
12:18:02;-127.63
12:18:02;-127.61
12:18:02;-136.52
12:18:02;-120.86
12:18:02;-130.49
12:18:02;-128.33
12:18:02;-122.32
12:18:02;-127.25
12:18:02;-110.8
12:18:02;-131.52
12:18:02;-122.21
12:18:02;-125.27
12:18:02;-133.54
12:18:02;-116.67
12:18:02;-128.68
12:18:02;-134.88
12:18:02;-122.61
12:18:02;-118.18
12:18:02;-137.51
12:18:02;-132.38
12:18:02;-124.98
12:18:02;-106.76
12:18:02;-87.17
12:18:02;-97.96
12:18:03;-88.93
12:18:03;-105.49
